"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","hosp_sz",-0.593821796222725,0.593821796222725,1,1
"1","eeg_normal",-0.576167760855144,0.576167760855144,0.970270482693836,2
"1","eeg_epileptiform",-0.42120789260756,0.42120789260756,0.70931699591838,3
"1","dev_Ability.to.reach",-0.200930300686343,0.200930300686343,0.338368012027265,4
"1","dev_Ability.to.perform.hand.functions",-0.195059396945331,0.195059396945331,0.328481369640009,5
"1","sz_focal",-0.0841413964309207,0.0841413964309207,0.141694691852237,6
"1","dev_Ability.to.babble",-0.0239502338428765,0.0239502338428765,0.0403323589589046,7
"1","variant_protein_other",0.0120079479944809,0.0120079479944809,0.0202214672328685,8
"1","age_onset_m",0.0102813128136245,0.0102813128136245,0.0173138016809479,9
"2","dev_Ability.to.follow.commands",-0.820374958800892,0.820374958800892,1,1
"2","dev_Ability.to.use.sentences",-0.729739276677146,0.729739276677146,0.889519199542336,2
"2","sz_tonic",0.72480500073366,0.72480500073366,0.88350454015939,3
"2","eeg_epileptiform",0.702480962386151,0.702480962386151,0.856292546292416,4
"2","sz_myoclonic",0.534107220187099,0.534107220187099,0.651052563778619,5
"2","hosp_sz",0.524501096595481,0.524501096595481,0.639343133244977,6
"2","eeg_background",0.3723078690971,0.3723078690971,0.453826466913723,7
"2","sz_tonic.clonic",0.301792947397284,0.301792947397284,0.367871964105782,8
"2","dev_Ability.to.crawl",-0.255477924777363,0.255477924777363,0.311416044622797,9
"2","dev_Ability.to.use.short.phrase",-0.253632978603484,0.253632978603484,0.309167138614529,10
"2","dev_Ability.to.walk",-0.222336659990637,0.222336659990637,0.271018340583697,11
"2","dev_Ability.to.stand",-0.191344883088692,0.191344883088692,0.233240765135461,12
"2","dev_Ability.to.sit.unsupported",-0.171291202789399,0.171291202789399,0.208796235126153,13
"2","dev_Ability.to.stand.on.one.leg",0.14148767376612,0.14148767376612,0.172467080142142,14
"3","dev_Ability.to.use.short.phrase",1.26458734273525,1.26458734273525,1,1
"3","variant_proteinp.Asn1877Ser",0.927088040339152,0.927088040339152,0.733115071620042,2
"3","variant_proteinp.Gly1475Arg",0.71044555102613,0.71044555102613,0.561800301977929,3
"3","dev_Ability.to.use.at.least.one.word",0.559636808136106,0.559636808136106,0.442545002012779,4
"3","dev_Ability.to.stand.alone",0.510284175750394,0.510284175750394,0.403518332428245,5
"3","dev_Ability.to.throw",0.493804919024503,0.493804919024503,0.390487001045276,6
"3","dev_Ability.to.identify.colors",0.256309074905383,0.256309074905383,0.202681986640003,7
"3","dev_Ability.to.write",0.206308611076135,0.206308611076135,0.163143030223518,8
"3","diag_muscoloskeletal",-0.158170663971997,0.158170663971997,0.125076899496621,9
"3","dev_Ability.to.follow.commands",0.110073301236259,0.110073301236259,0.0870428617434795,10
"3","dev_Ability.to.walk",0.0811073925670239,0.0811073925670239,0.0641374382188516,11
"3","dev_Ability.to.vocalize",-0.030104766934588,0.030104766934588,0.0238060005167161,12
"4","dev_Ability.to.walk.with.maximal.assistance",1.00164626843515,1.00164626843515,1,1
"4","dev_Ability.to.use.sign.language",0.909995543447924,0.909995543447924,0.90849990872485,2
"4","dev_Ability.to.kneel",0.626973069341938,0.626973069341938,0.625942599797673,3
"4","dev_Ability.to.stand",0.577399477339686,0.577399477339686,0.576450485101633,4
"4","dev_Ability.to.roll..front.to.back.",0.495251921737564,0.495251921737564,0.494437944156956,5
"4","dev_Ability.to.initiate.words",0.483532419286627,0.483532419286627,0.48273770344299,6
"4","dev_Ability.to.use.non.verbal.communication",0.428667124216418,0.428667124216418,0.427962582924722,7
"4","variant_proteinp.Arg1617Gln",0.428479458642805,0.428479458642805,0.427775225791243,8
"4","dev_Ability.to.use.augmentative.and.alternative.communication",0.361364323307785,0.361364323307785,0.360770398388579,9
"4","dev_Ability.to.recognize.spoken.word",0.352723709944725,0.352723709944725,0.35214398641526,10
"4","dev_Ability.to.cruise",0.346254879501228,0.346254879501228,0.345685787900127,11
"4","dev_Ability.to.weight.bear",0.243452115167515,0.243452115167515,0.243051986354279,12
"4","dev_Ability.to.sit.unsupported",0.0936076446695269,0.0936076446695269,0.0934537946372702,13
"4","dev_Ability.to.count.up.to.10",0.058757863721217,0.058757863721217,0.0586612914886738,14
"4","dev_Ability.to.control.head.posture",0.0472669142055533,0.0472669142055533,0.0471892280689041,15
