"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"5yr_vs_8yr","dev_Ability.to.follow.commands",1.12784855949082,1.12784855949082,1,1
"5yr_vs_8yr","dev_Ability.to.vocalize",1.10049931366261,1.10049931366261,0.975750959117628,2
"5yr_vs_8yr","sz_tonic",0.838993284121197,0.838993284121197,0.743888243737232,3
"5yr_vs_8yr","dev_Ability.to.identify.colors",0.823626523844036,0.823626523844036,0.730263400093243,4
"5yr_vs_8yr","dev_Ability.to.speak.fluently",0.76589386370442,0.76589386370442,0.67907509147344,5
"5yr_vs_8yr","dev_Ability.to.run",0.764450566705321,0.764450566705321,0.677795401051394,6
"5yr_vs_8yr","sz_tonic.clonic",0.732723713101889,0.732723713101889,0.649664981114736,7
"5yr_vs_8yr","dev_Ability.to.write",0.727562106665188,0.727562106665188,0.645088474461191,8
"5yr_vs_8yr","sz_focal",0.711303770757692,0.711303770757692,0.630673120759063,9
"5yr_vs_8yr","sz_absence",0.706327605839775,0.706327605839775,0.626261034689491,10
"5yr_vs_8yr","eeg_background",0.668880423901076,0.668880423901076,0.593058720758616,11
"5yr_vs_8yr","eeg_normal",0.66803089833355,0.66803089833355,0.592305494130469,12
"5yr_vs_8yr","dev_Ability.to.speak",0.668020467540703,0.668020467540703,0.592296245732038,13
"5yr_vs_8yr","dev_Ability.to.use.at.least.one.word",0.601245513277051,0.601245513277051,0.53309064254911,14
"5yr_vs_8yr","dev_Ability.to.jump",0.568374864839387,0.568374864839387,0.503946083945865,15
"5yr_vs_8yr","hosp_pneumonia",0.470676758423556,0.470676758423556,0.417322657783104,16
"5yr_vs_8yr","diag_gastro",0.404311572523781,0.404311572523781,0.358480373203926,17
"5yr_vs_8yr","dev_Ability.to.use.augmentative.and.alternative.communication",0.362669706985939,0.362669706985939,0.321558868816279,18
"5yr_vs_8yr","dev_Ability.to.walk.with.assistance",0.359179132947829,0.359179132947829,0.318463972778387,19
"5yr_vs_8yr","hosp_sz",0.309647052006662,0.309647052006662,0.27454665735128,20
"5yr_vs_8yr","dev_Ability.to.use.non.verbal.communication",0.156230250086883,0.156230250086883,0.138520591946684,21
"5yr_vs_8yr","hosp_status",0.129871568145743,0.129871568145743,0.115149828452478,22
"5yr_vs_8yr","dev_Ability.to.read",0.118195228728957,0.118195228728957,0.104797073804232,23
"5yr_vs_8yr","dev_Ability.to.recognize.letters.of.the.alphabet",0.116991994072117,0.116991994072117,0.103730233183907,24
"5yr_vs_8yr","dev_Ability.to.recognize.numbers",0.115640012495,0.115640012495,0.102531507020062,25
"5yr_vs_8yr","dev_Ability.to.initiate.words",0.0364252365371025,0.0364252365371025,0.0322962123155497,26
"5yr_vs_8yr","dev_Ability.to.pull.to.stand",0.0359635567877639,0.0359635567877639,0.0318868668006278,27
