"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.identify.colors",0.659102033804923,0.659102033804923,1,1
"1","dev_Ability.to.use.sentences",0.0343700379695103,0.0343700379695103,0.0521467636370288,2
"1","dev_Ability.to.count.up.to.10",0.0205804223953173,0.0205804223953173,0.0312249414199328,3
"1","variant_proteinp.Gly1475Arg",0.0188122873976121,0.0188122873976121,0.0285422991171957,4
"1","dev_Ability.to.read",0.0076236515665595,0.0076236515665595,0.0115667243849166,5
"1","dev_Ability.to.squat",0.00576122954300975,0.00576122954300975,0.0087410283196227,6
"1","dev_Ability.to.recognize.letters.of.the.alphabet",0.0056831866136928,0.0056831866136928,0.00862262035649381,7
"2","dev_Ability.to.identify.colors",-0.659102033804923,0.659102033804923,1,1
"2","dev_Ability.to.use.sentences",-0.0343700379695103,0.0343700379695103,0.0521467636370288,2
"2","dev_Ability.to.count.up.to.10",-0.0205804223953173,0.0205804223953173,0.0312249414199328,3
"2","variant_proteinp.Gly1475Arg",-0.0188122873976121,0.0188122873976121,0.0285422991171957,4
"2","dev_Ability.to.read",-0.0076236515665595,0.0076236515665595,0.0115667243849166,5
"2","dev_Ability.to.squat",-0.00576122954300975,0.00576122954300975,0.0087410283196227,6
"2","dev_Ability.to.recognize.letters.of.the.alphabet",-0.0056831866136928,0.0056831866136928,0.00862262035649381,7
