"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"5yr_vs_8yr","med_LTG",1.49109209592639,1.49109209592639,1,1
"5yr_vs_8yr","med_PHT",1.20094887162759,1.20094887162759,0.805415624500013,2
"5yr_vs_8yr","med_RFM",1.01118676137163,1.01118676137163,0.67815178159294,3
"5yr_vs_8yr","med_CBD",0.88546345137217,0.88546345137217,0.593835520818079,4
"5yr_vs_8yr","med_ESL",0.576034791516471,0.576034791516471,0.386317379785043,5
"5yr_vs_8yr","med_CLB",-0.526133646144185,0.526133646144185,0.352851207233653,6
"5yr_vs_8yr","med_CLZ",0.289728055578111,0.289728055578111,0.194305942851979,7
"5yr_vs_8yr","med_ZNS",0.238013874793414,0.238013874793414,0.15962385921276,8
