"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.use.sentences",0.828527786853387,0.828527786853387,1,1
"1","dev_Ability.to.identify.colors",0.827779840913959,0.827779840913959,0.999097259076525,2
"1","variant_proteinp.Gly1475Arg",0.751427286776502,0.751427286776502,0.906942770900056,3
"1","dev_Ability.to.use.verbal.communication",0.383085841888708,0.383085841888708,0.462369335063107,4
"1","dev_Ability.to.read",0.243025017186095,0.243025017186095,0.293321504773019,5
"1","dev_Ability.to.grasp",0.183226064864875,0.183226064864875,0.221146553890169,6
"1","dev_Ability.to.speak.fluently",0.142734265815492,0.142734265815492,0.17227456710604,7
"1","dev_Ability.to.sit.unsupported",0.134733212789553,0.134733212789553,0.162617615157178,8
"1","dev_Ability.to.write",0.113418513584828,0.113418513584828,0.136891623171231,9
"1","dev_Ability.to.count.up.to.10",0.0476614390487757,0.0476614390487757,0.057525456363734,10
"2","hosp_sz",-0.766170489275417,0.766170489275417,1,1
"2","eeg_background",-0.718328192402742,0.718328192402742,0.937556591460575,2
"2","eeg_epileptiform",-0.654038414579994,0.654038414579994,0.853646053632959,3
"2","diag_gastro",-0.132839576063567,0.132839576063567,0.173381222486389,4
"2","diag_muscoloskeletal",-0.129852565019199,0.129852565019199,0.169482597981558,5
"2","sz_tonic.clonic",-0.0271701046382202,0.0271701046382202,0.0354622176376376,6
"2","eeg_normal",-0.00210007779937047,0.00210007779937047,0.00274100585805198,7
"2","age_onset_m",0.000225510683738925,0.000225510683738925,0.000294334860054705,8
"3","sz_tonic",0.63529300997504,0.63529300997504,1,1
"3","sz_myoclonic",0.378065224959376,0.378065224959376,0.59510370651525,2
"3","diag_muscoloskeletal",0.375999514287589,0.375999514287589,0.591852119232921,3
"3","dev_Ability.to.roll",0.327613396662923,0.327613396662923,0.515688653139431,4
"3","diag_cardio",0.30524621998281,0.30524621998281,0.48048099883045,5
"3","hosp_sz",0.278463932305191,0.278463932305191,0.438323620648891,6
"3","hosp_status",0.151486713389668,0.151486713389668,0.238451723867731,7
"3","dev_Ability.to.speak.fluently",-0.0995971955394526,0.0995971955394526,0.156773636693037,8
"3","dev_Ability.to.use.short.phrase",-0.0389052551143133,0.0389052551143133,0.0612398601959147,9
"3","sz_spasms",0.0134888468719555,0.0134888468719555,0.0212324811703586,10
