"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.sit.unsupported",-0.828375246381555,0.828375246381555,1,1
"1","dev_Ability.to.stand",-0.487336787110679,0.487336787110679,0.588304381666914,2
"1","dev_Ability.to.cruise",-0.278518762585662,0.278518762585662,0.336222942201939,3
"1","dev_Ability.to.pull.to.stand",-0.256026329283126,0.256026329283126,0.309070473075433,4
"1","dev_Ability.to.crawl",-0.203397414830305,0.203397414830305,0.245537774962216,5
"1","dev_Ability.to.use.sentences",-0.177561309675731,0.177561309675731,0.214348884097322,6
"1","dev_Ability.to.count.up.to.10",-0.133889966621658,0.133889966621658,0.161629608328479,7
"1","dev_Ability.to.identify.colors",-0.0776830436467176,0.0776830436467176,0.0937776013781757,8
"1","dev_Ability.to.use.at.least.one.word",-0.076954170459238,0.076954170459238,0.0928977185102805,9
"1","dev_Ability.to.follow.commands",-0.0747795528969685,0.0747795528969685,0.0902725585097029,10
"1","dev_Ability.to.reach",-0.0517666371380419,0.0517666371380419,0.0624917721336616,11
"1","sz_absence",0.00943094798335099,0.00943094798335099,0.0113848742155763,12
"2","dev_Ability.to.sit.unsupported",0.828375246381555,0.828375246381555,1,1
"2","dev_Ability.to.stand",0.487336787110679,0.487336787110679,0.588304381666914,2
"2","dev_Ability.to.cruise",0.278518762585662,0.278518762585662,0.336222942201939,3
"2","dev_Ability.to.pull.to.stand",0.256026329283126,0.256026329283126,0.309070473075433,4
"2","dev_Ability.to.crawl",0.203397414830305,0.203397414830305,0.245537774962216,5
"2","dev_Ability.to.use.sentences",0.177561309675731,0.177561309675731,0.214348884097322,6
"2","dev_Ability.to.count.up.to.10",0.133889966621658,0.133889966621658,0.161629608328479,7
"2","dev_Ability.to.identify.colors",0.0776830436467176,0.0776830436467176,0.0937776013781757,8
"2","dev_Ability.to.use.at.least.one.word",0.076954170459238,0.076954170459238,0.0928977185102805,9
"2","dev_Ability.to.follow.commands",0.0747795528969685,0.0747795528969685,0.0902725585097029,10
"2","dev_Ability.to.reach",0.0517666371380419,0.0517666371380419,0.0624917721336616,11
"2","sz_absence",-0.00943094798335099,0.00943094798335099,0.0113848742155763,12
