"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.walk",-0.765955792158952,0.765955792158952,1,1
"1","hosp_sz",0.35511173657886,0.35511173657886,0.463619102060615,2
"1","sz_tonic",0.354380311737663,0.354380311737663,0.46266418423287,3
"1","eeg_background",0.158899161177795,0.158899161177795,0.207452130794541,4
"1","dev_Ability.to.use.pincer.grasp",-0.128483601701391,0.128483601701391,0.16774284236332,5
"1","dev_Ability.to.perform.hand.functions",-0.124799778488611,0.124799778488611,0.162933396112647,6
"1","diag_muscoloskeletal",0.115057030879048,0.115057030879048,0.150213670366986,7
"1","hosp_status",0.0882009075237283,0.0882009075237283,0.115151433577024,8
"1","dev_Ability.to.use.short.phrase",-0.0691962975026174,0.0691962975026174,0.0903398057838013,9
"2","dev_Ability.to.use.pincer.grasp",0.868421612142833,0.868421612142833,1,1
"2","dev_Ability.to.sit.unsupported",0.805194925512364,0.805194925512364,0.927193559273062,2
"2","dev_Ability.to.run",0.488081560902781,0.488081560902781,0.562032950444932,3
"2","dev_Ability.to.perform.hand.functions",0.406210963202019,0.406210963202019,0.467757777469048,4
"2","dev_Ability.to.count.up.to.10",0.258406192296613,0.258406192296613,0.297558453962235,5
"2","dev_Ability.to.follow.commands",0.169021981505611,0.169021981505611,0.194631247244698,6
"2","dev_Ability.to.use.at.least.one.word",0.153210911655093,0.153210911655093,0.176424572480463,7
"2","dev_Ability.to.identify.colors",0.129735767244027,0.129735767244027,0.149392605423423,8
"2","dev_Ability.to.crawl",0.124842292491412,0.124842292491412,0.14375769873272,9
"2","dev_Ability.to.stand",0.0955444390935441,0.0955444390935441,0.110020798374407,10
"2","dev_Ability.to.walk",0.0792263279603484,0.0792263279603484,0.0912302582669001,11
"2","dev_Ability.to.use.short.phrase",0.00500557475455057,0.00500557475455057,0.00576399145824953,12
"3","eeg_background",-1.12584644606478,1.12584644606478,1,1
"3","eeg_epileptiform",-0.725268273724768,0.725268273724768,0.644198217492117,2
"3","hosp_sz",-0.712188127832227,0.712188127832227,0.632580162527108,3
