"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.sit.unsupported",1.33115579572062,1.33115579572062,1,1
"1","dev_Ability.to.cruise",0.890535838641422,0.890535838641422,0.66899444941329,2
"1","dev_Ability.to.use.sign.language",0.763490229237163,0.763490229237163,0.57355437409477,3
"1","dev_Ability.to.walk.with.assistance",0.69497788178514,0.69497788178514,0.522086057859905,4
"1","dev_Ability.to.perform.hand.functions",0.6012278685896,0.6012278685896,0.451658529018482,5
"1","dev_Ability.to.pull.to.stand",0.601219105041193,0.601219105041193,0.451651945605455,6
"1","dev_Ability.to.count.up.to.10",0.50163899476386,0.50163899476386,0.376844691189809,7
"1","dev_Ability.to.stand",0.494807331051662,0.494807331051662,0.371712561852161,8
"1","dev_Ability.to.babble",0.445394157361147,0.445394157361147,0.334592058114456,9
"1","dev_Ability.to.use.verbal.communication",0.40769688889545,0.40769688889545,0.306272857171271,10
"1","dev_Ability.to.use.at.least.one.word",0.376505946510505,0.376505946510505,0.282841383195635,11
"1","dev_Ability.to.use.sentences",0.301608020995011,0.301608020995011,0.226576049148129,12
"1","dev_Ability.to.walk",0.28301151709849,0.28301151709849,0.212605855759568,13
"1","dev_Ability.to.vocalize",0.153430596161336,0.153430596161336,0.115261186297338,14
"1","dev_Ability.to.crawl",0.12553862840772,0.12553862840772,0.0943079907034927,15
"1","dev_Ability.to.reach",0.114742582597015,0.114742582597015,0.0861977110161624,16
"1","dev_Ability.to.control.head.posture",0.0742120413479231,0.0742120413479231,0.0557500794320989,17
"1","dev_Ability.to.identify.colors",0.0523655400339966,0.0523655400339966,0.0393384006607948,18
"1","dev_Ability.to.use.pincer.grasp",0.0423084868673472,0.0423084868673472,0.0317832721033556,19
"1","dev_Ability.to.follow.commands",0.0321712492718925,0.0321712492718925,0.0241679068485569,20
"1","sz_absence",-0.0254155574584997,0.0254155574584997,0.0190928496425478,21
"2","dev_Ability.to.walk",-0.974236219476087,0.974236219476087,1,1
"2","hosp_sz",0.749818374898489,0.749818374898489,0.769647401635013,2
"2","sz_myoclonic",0.595292001691495,0.595292001691495,0.61103456204043,3
"2","sz_tonic",0.578437414886819,0.578437414886819,0.593734253893664,4
"2","diag_gastro",0.542804465406789,0.542804465406789,0.557158987271785,5
"2","dev_Ability.to.sit.unsupported",-0.345039776311657,0.345039776311657,0.354164389923019,6
"2","eeg_epileptiform",0.203289373955482,0.203289373955482,0.208665383088307,7
"2","dev_Ability.to.use.at.least.one.word",-0.187090422495808,0.187090422495808,0.19203804863303,8
"2","dev_Ability.to.speak.intelligibly",-0.119623051877318,0.119623051877318,0.122786496217157,9
"2","dev_Ability.to.cruise",-0.0685535409011532,0.0685535409011532,0.0703664465872754,10
"3","hosp_sz",-1.39212578178736,1.39212578178736,1,1
"3","eeg_epileptiform",-1.04239864723404,1.04239864723404,0.748781942602703,2
"3","eeg_background",-0.499684292420483,0.499684292420483,0.358936167232631,3
"3","sz_tonic.clonic",-0.16298595054628,0.16298595054628,0.117077029014592,4
"3","eeg_normal",-0.136066088171075,0.136066088171075,0.0977397947449685,5
"3","diag_gastro",-0.116756605094278,0.116756605094278,0.0838692930062496,6
"3","age_onset_m",0.00300030813798914,0.00300030813798914,0.00215519903247322,7
